,zip1,zip1_value,zip2,zip2_value
0,10304,536.0,10304,536.0
1,10304,12.0,11228,3.0
2,10304,77.0,10310,295.0
3,10304,46.0,11209,289.0
4,10304,162.0,10301,468.0
5,10304,43.0,11232,226.0
6,10304,52.0,11214,176.0
7,10304,27.0,11224,79.0
8,10304,133.0,10314,1093.0
9,10304,30.0,11430,107.0
10,10304,32.0,11361,28.0
11,10304,44.0,11432,169.0
12,10304,27.0,11233,26.0
13,10304,40.0,11373,272.0
14,10304,24.0,11691,11.0
15,10304,27.0,11377,270.0
16,10304,26.0,11223,27.0
17,10304,29.0,11237,32.0
18,10304,29.0,11212,82.0
19,10304,31.0,11206,39.0
20,10304,31.0,11360,54.0
21,10304,24.0,11372,85.0
22,10304,20.0,11104,19.0
23,10304,29.0,11207,65.0
24,10304,25.0,11368,439.0
25,10304,12.0,11204,17.0
26,10304,50.0,10312,180.0
27,10304,23.0,11369,49.0
28,10304,33.0,11221,21.0
29,10304,21.0,11411,16.0
30,10304,5.0,11203,11.0
31,10304,35.0,11208,51.0
32,10304,21.0,11371,119.0
33,10304,27.0,11414,52.0
34,10304,34.0,11375,294.0
35,10304,33.0,83,229.0
36,10304,26.0,10027,113.0
37,10304,58.0,10036,712.0
38,10304,28.0,10461,139.0
39,10304,3.0,10167,35.0
40,10304,51.0,10017,911.0
41,10304,38.0,11101,414.0
42,10304,32.0,10035,364.0
43,10304,42.0,10016,301.0
44,10304,80.0,10001,1540.0
45,10304,59.0,10019,615.0
46,10304,29.0,10032,549.0
47,10304,44.0,10065,415.0
48,10304,41.0,10020,287.0
49,10304,24.0,10453,61.0
50,10304,18.0,11416,11.0
51,10304,28.0,10024,156.0
52,10304,24.0,10026,33.0
53,10304,27.0,11213,45.0
54,10304,33.0,10023,333.0
55,10304,61.0,10018,293.0
56,10304,62.0,10309,117.0
57,10304,0.0,10174,0.0
58,10304,25.0,10021,100.0
59,10304,27.0,11236,108.0
60,10304,32.0,11106,35.0
61,10304,0.0,10097,0.0
62,10304,58.0,10014,219.0
63,10304,60.0,10011,352.0
64,10304,22.0,11366,40.0
65,10304,51.0,10012,286.0
66,10304,127.0,10007,2227.0
67,10304,40.0,10003,387.0
68,10304,40.0,11211,498.0
69,10304,51.0,10002,176.0
70,10304,35.0,10029,127.0
71,10304,22.0,10048,13.0
72,10304,39.0,11216,85.0
73,10304,31.0,11217,214.0
74,10304,31.0,11222,190.0
75,10304,35.0,11226,473.0
76,10304,35.0,10038,207.0
77,10304,45.0,10022,484.0
78,10304,39.0,11215,271.0
79,10304,23.0,10468,63.0
80,10304,48.0,10013,357.0
81,10304,35.0,10005,110.0
82,10304,2.0,11040,1.0
83,10304,31.0,11385,143.0
84,10304,28.0,10033,331.0
85,10304,83.0,10004,187.0
86,10304,29.0,11378,457.0
87,10304,23.0,10452,269.0
88,10304,66.0,11201,655.0
89,10304,27.0,10474,34.0
90,10304,46.0,10010,307.0
91,10304,33.0,11238,55.0
92,10304,32.0,10006,100.0
93,10304,21.0,10040,29.0
94,10304,36.0,10455,54.0
95,10304,61.0,10306,159.0
96,10304,25.0,10009,53.0
97,10304,27.0,10128,283.0
98,10304,21.0,10459,72.0
99,10304,28.0,11355,66.0
100,10304,23.0,10465,282.0
101,10304,31.0,10462,459.0
102,10304,24.0,10451,268.0
103,10304,36.0,10025,220.0
104,10304,29.0,11229,81.0
105,10304,19.0,10282,7.0
106,10304,32.0,11370,70.0
107,10304,34.0,10031,80.0
108,10304,25.0,10034,105.0
109,10304,39.0,11235,154.0
110,10304,25.0,11367,494.0
111,10304,28.0,10028,173.0
112,10304,29.0,11426,75.0
113,10304,25.0,10457,107.0
114,10304,25.0,11102,123.0
115,10304,0.0,11109,0.0
116,10304,30.0,11234,99.0
117,10304,36.0,11435,504.0
118,10304,32.0,11354,108.0
119,10304,22.0,10281,25.0
120,10304,18.0,11433,48.0
121,10304,23.0,10472,191.0
122,10304,25.0,11231,201.0
123,10304,7.0,10069,17.0
124,10304,21.0,10030,9.0
125,10304,23.0,10456,14.0
126,10304,26.0,11205,83.0
127,10304,79.0,10305,603.0
128,10304,20.0,10469,19.0
129,10304,55.0,11220,385.0
130,10304,28.0,11415,35.0
131,10304,27.0,11364,127.0
132,10304,26.0,11230,11.0
133,10304,25.0,11434,43.0
134,10304,21.0,10460,265.0
135,10304,25.0,10463,161.0
136,10304,29.0,10280,10.0
137,10304,29.0,10075,109.0
138,10304,29.0,11379,28.0
139,10304,0.0,10260,0.0
140,10304,21.0,11422,17.0
141,10304,27.0,11103,115.0
142,10304,27.0,11210,69.0
143,10304,19.0,10044,44.0
144,10304,24.0,11362,107.0
145,10304,23.0,10471,117.0
146,10304,24.0,10458,26.0
147,10304,24.0,11365,160.0
148,10304,24.0,11693,8.0
149,10304,37.0,11418,16.0
150,10304,27.0,11218,48.0
151,10304,24.0,10467,60.0
152,10304,31.0,10308,21.0
153,10304,22.0,10111,8.0
154,10304,24.0,11105,83.0
155,10304,23.0,11219,20.0
156,10304,9.0,10275,2.0
157,10304,10.0,10118,45.0
158,10304,23.0,10466,44.0
159,10304,24.0,11239,35.0
160,10304,4.0,10169,18.0
161,10304,29.0,11420,50.0
162,10304,0.0,10153,0.0
163,10304,14.0,10307,46.0
164,10304,3.0,10165,3.0
165,10304,58.0,10303,297.0
166,10304,32.0,11357,74.0
167,10304,75.0,10302,44.0
168,10304,21.0,11429,65.0
169,10304,0.0,10152,0.0
170,10304,24.0,10039,64.0
171,10304,18.0,10121,4.0
172,10304,21.0,11413,31.0
173,10304,23.0,10473,139.0
174,10304,21.0,10454,223.0
175,10304,21.0,11694,13.0
176,10304,20.0,11358,9.0
177,10304,15.0,11421,2.0
178,10304,2.0,11412,2.0
179,10304,23.0,11417,9.0
180,10304,29.0,11427,32.0
181,10304,30.0,11374,85.0
182,10304,0.0,10096,0.0
183,10304,27.0,10037,133.0
184,10304,27.0,10475,78.0
185,10304,22.0,11225,50.0
186,10304,1.0,10107,14.0
187,10304,2.0,11251,2.0
188,10304,24.0,11436,213.0
189,10304,30.0,11356,10.0
190,10304,2.0,11697,1.0
191,10304,0.0,10172,0.0
192,10304,20.0,10470,15.0
193,10304,0.0,10041,0.0
194,10304,0.0,10278,0.0
195,10304,0.0,10106,0.0
196,10304,18.0,11428,2.0
197,10304,18.0,10286,2.0
198,10304,0.0,10279,0.0
199,10304,0.0,10103,0.0
200,10304,0.0,10196,0.0
201,10304,0.0,10154,0.0
202,10304,1.0,10119,13.0
203,10304,21.0,10464,48.0
204,10304,18.0,10166,4.0
205,10304,0.0,10203,0.0
206,10304,0.0,11359,0.0
207,10304,0.0,10177,0.0
208,10304,0.0,11692,0.0
209,10304,11.0,11423,9.0
210,10304,1.0,10175,1.0
211,10304,24.0,11419,26.0
212,10304,0.0,10285,0.0
213,10304,0.0,10045,0.0
214,10304,1.0,10270,15.0
215,10304,0.0,10123,0.0
216,10304,0.0,11005,0.0
217,10304,1.0,10170,1.0
218,10304,0.0,10115,0.0
219,10304,1.0,10104,12.0
220,10304,2.0,11363,1.0
221,10304,0.0,10105,0.0
222,10304,18.0,10120,24.0
223,10304,1.0,10265,1.0
224,10304,0.0,10259,0.0
225,10304,18.0,11004,7.0
226,10304,0.0,10112,0.0
227,10304,0.0,10047,0.0
228,10304,0.0,10122,0.0
229,10304,0.0,10110,0.0
230,10304,0.0,10080,0.0
231,10304,0.0,10271,0.0
232,10304,0.0,11001,0.0
233,10304,0.0,10055,0.0
234,10304,0.0,10168,0.0
235,10304,0.0,10081,0.0
236,10304,0.0,10173,0.0
237,10304,0.0,10158,0.0
238,10304,2.0,10176,1.0
239,10304,0.0,10171,0.0
240,10304,0.0,10178,0.0
241,10304,0.0,10151,0.0
242,11228,709.0,11228,709.0
243,11228,9.0,10310,10.0
244,11228,67.0,11209,169.0
245,11228,26.0,10301,61.0
246,11228,59.0,11232,154.0
247,11228,57.0,11214,128.0
248,11228,29.0,11224,66.0
249,11228,201.0,10314,116.0
250,11228,45.0,11430,83.0
251,11228,3.0,11361,17.0
252,11228,5.0,11432,72.0
253,11228,17.0,11233,59.0
254,11228,19.0,11373,107.0
255,11228,16.0,11691,5.0
256,11228,5.0,11377,166.0
257,11228,32.0,11223,48.0
258,11228,17.0,11237,32.0
259,11228,2.0,11212,14.0
260,11228,62.0,11206,59.0
261,11228,1.0,11360,18.0
262,11228,3.0,11372,40.0
263,11228,47.0,11104,18.0
264,11228,8.0,11207,61.0
265,11228,13.0,11368,232.0
266,11228,272.0,11204,45.0
267,11228,5.0,10312,13.0
268,11228,6.0,11369,38.0
269,11228,25.0,11221,49.0
270,11228,1.0,11411,6.0
271,11228,8.0,11203,15.0
272,11228,2.0,11208,12.0
273,11228,33.0,11371,82.0
274,11228,6.0,11414,26.0
275,11228,9.0,11375,120.0
276,11228,99.0,83,184.0
277,11228,60.0,10027,84.0
278,11228,147.0,10036,289.0
279,11228,47.0,10461,77.0
280,11228,0.0,10167,0.0
281,11228,80.0,10017,154.0
282,11228,34.0,11101,227.0
283,11228,49.0,10035,251.0
284,11228,15.0,10016,106.0
285,11228,173.0,10001,677.0
286,11228,148.0,10019,292.0
287,11228,43.0,10032,282.0
288,11228,34.0,10065,146.0
289,11228,143.0,10020,240.0
290,11228,42.0,10453,81.0
291,11228,3.0,11416,19.0
292,11228,84.0,10024,111.0
293,11228,48.0,10026,22.0
294,11228,12.0,11213,26.0
295,11228,95.0,10023,232.0
296,11228,113.0,10018,231.0
297,11228,16.0,10309,25.0
298,11228,0.0,10174,0.0
299,11228,21.0,10021,45.0
300,11228,15.0,11236,49.0
301,11228,24.0,11106,23.0
302,11228,0.0,10097,0.0
303,11228,91.0,10014,225.0
304,11228,129.0,10011,235.0
305,11228,1.0,11366,7.0
306,11228,74.0,10012,161.0
307,11228,189.0,10007,451.0
308,11228,143.0,10003,289.0
309,11228,90.0,11211,345.0
310,11228,68.0,10002,161.0
311,11228,51.0,10029,51.0
312,11228,19.0,10048,21.0
313,11228,21.0,11216,51.0
314,11228,62.0,11217,177.0
315,11228,25.0,11222,193.0
316,11228,279.0,11226,180.0
317,11228,36.0,10038,103.0
318,11228,116.0,10022,153.0
319,11228,53.0,11215,193.0
320,11228,49.0,10468,38.0
321,11228,121.0,10013,208.0
322,11228,21.0,10005,30.0
323,11228,1.0,11040,1.0
324,11228,11.0,11385,80.0
325,11228,40.0,10033,125.0
326,11228,37.0,10004,68.0
327,11228,4.0,11378,173.0
328,11228,44.0,10452,78.0
329,11228,143.0,11201,385.0
330,11228,40.0,10474,7.0
331,11228,97.0,10010,118.0
332,11228,29.0,11238,51.0
333,11228,26.0,10006,51.0
334,11228,7.0,10040,21.0
335,11228,40.0,10455,40.0
336,11228,7.0,10306,20.0
337,11228,32.0,10009,49.0
338,11228,8.0,10128,103.0
339,11228,45.0,10459,83.0
340,11228,5.0,11355,38.0
341,11228,3.0,10465,135.0
342,11228,43.0,10462,131.0
343,11228,39.0,10451,140.0
344,11228,54.0,10025,81.0
345,11228,13.0,11229,89.0
346,11228,22.0,10282,11.0
347,11228,2.0,11370,19.0
348,11228,50.0,10031,42.0
349,11228,45.0,10034,73.0
350,11228,21.0,11235,97.0
351,11228,6.0,11367,224.0
352,11228,17.0,10028,52.0
353,11228,3.0,11426,30.0
354,11228,41.0,10457,45.0
355,11228,30.0,11102,59.0
356,11228,2.0,11109,1.0
357,11228,27.0,11234,60.0
358,11228,6.0,11435,251.0
359,11228,9.0,11354,57.0
360,11228,30.0,10281,34.0
361,11228,7.0,11433,58.0
362,11228,45.0,10472,149.0
363,11228,25.0,11231,112.0
364,11228,2.0,10069,2.0
365,11228,2.0,10030,5.0
366,11228,39.0,10456,7.0
367,11228,25.0,11205,67.0
368,11228,12.0,10305,53.0
369,11228,39.0,10469,14.0
370,11228,38.0,11220,230.0
371,11228,2.0,11415,10.0
372,11228,2.0,11364,54.0
373,11228,205.0,11230,99.0
374,11228,3.0,11434,20.0
375,11228,48.0,10460,126.0
376,11228,4.0,10463,182.0
377,11228,5.0,10280,9.0
378,11228,15.0,10075,42.0
379,11228,6.0,11379,16.0
